"name","source","path","rows","cols","bytes"
"TitanicSurvival","carData","package_data/cardata/TitanicSurvival.csv",1309,4,28518
"Transact","carData","package_data/cardata/Transact.csv",261,3,3585
"UN","carData","package_data/cardata/UN.csv",213,7,9352
"UN98","carData","package_data/cardata/UN98.csv",207,13,11004
"USPop","carData","package_data/cardata/USPop.csv",22,2,355
"Vocab","carData","package_data/cardata/Vocab.csv",30351,4,548718
"WeightLoss","carData","package_data/cardata/WeightLoss.csv",34,7,848
"Wells","carData","package_data/cardata/Wells.csv",3020,5,75463
"Womenlf","carData","package_data/cardata/Womenlf.csv",263,4,8657
"Wong","carData","package_data/cardata/Wong.csv",331,7,11313
"Wool","carData","package_data/cardata/Wool.csv",27,4,396
"WVS","carData","package_data/cardata/WVS.csv",5381,6,238976
"USArrests","datasets","package_data/base/USArrests.csv",50,5,1392
"aatemp","faraway","package_data/faraway/aatemp.csv",115,2,1265
"abrasion","faraway","package_data/faraway/abrasion.csv",16,4,291
"aflatoxin","faraway","package_data/faraway/aflatoxin.csv",6,3,71
"africa","faraway","package_data/faraway/africa.csv",47,9,1324
"airpass","faraway","package_data/faraway/airpass.csv",144,2,2462
"alfalfa","faraway","package_data/faraway/alfalfa.csv",25,4,463
"amlxray","faraway","package_data/faraway/amlxray.csv",238,11,12007
"anaesthetic","faraway","package_data/faraway/anaesthetic.csv",80,2,506
"babyfood","faraway","package_data/faraway/babyfood.csv",6,4,169
"beetle","faraway","package_data/faraway/beetle.csv",10,3,132
"bliss","faraway","package_data/faraway/bliss.csv",5,3,58
"breaking","faraway","package_data/faraway/breaking.csv",16,4,372
"broccoli","faraway","package_data/faraway/broccoli.csv",36,4,606
"butterfat","faraway","package_data/faraway/butterfat.csv",100,3,2582
"cathedral","faraway","package_data/faraway/cathedral.csv",25,3,294
"cheddar","faraway","package_data/faraway/cheddar.csv",30,4,671
"chicago","faraway","package_data/faraway/chicago.csv",47,7,1433
"chmiss","faraway","package_data/faraway/chmiss.csv",47,6,1205
"choccake","faraway","package_data/faraway/choccake.csv",270,4,4193
"chredlin","faraway","package_data/faraway/chredlin.csv",47,7,1461
"clot","faraway","package_data/faraway/clot.csv",18,3,237
"cmob","faraway","package_data/faraway/cmob.csv",36,3,554
"cns","faraway","package_data/faraway/cns.csv",16,7,666
"coagulation","faraway","package_data/faraway/coagulation.csv",24,2,182
"composite","faraway","package_data/faraway/composite.csv",9,3,200
"cornnit","faraway","package_data/faraway/cornnit.csv",44,2,331
"corrosion","faraway","package_data/faraway/corrosion.csv",13,2,145
"cpd","faraway","package_data/faraway/cpd.csv",20,2,192
"crawl","faraway","package_data/faraway/crawl.csv",12,4,236
"ctsib","faraway","package_data/faraway/ctsib.csv",480,8,18975
"death","faraway","package_data/faraway/death.csv",8,4,162
"debt","faraway","package_data/faraway/debt.csv",464,13,18871
"denim","faraway","package_data/faraway/denim.csv",95,2,792
"diabetes","faraway","package_data/faraway/diabetes.csv",403,19,37856
"dicentric","faraway","package_data/faraway/dicentric.csv",27,4,409
"divusa","faraway","package_data/faraway/divusa.csv",77,7,2826
"drugpsy","faraway","package_data/faraway/drugpsy.csv",10,3,286
"dvisits","faraway","package_data/faraway/dvisits.csv",5190,19,253455
"eco","faraway","package_data/faraway/eco.csv",51,4,1394
"eggprod","faraway","package_data/faraway/eggprod.csv",12,3,167
"eggs","faraway","package_data/faraway/eggs.csv",48,4,979
"epilepsy","faraway","package_data/faraway/epilepsy.csv",295,6,4245
"esdcomp","faraway","package_data/faraway/esdcomp.csv",44,6,1330
"exa","faraway","package_data/faraway/exa.csv",256,3,5218
"eyegrade","faraway","package_data/faraway/eyegrade.csv",16,3,338
"fat","faraway","package_data/faraway/fat.csv",252,18,22796
"femsmoke","faraway","package_data/faraway/femsmoke.csv",28,4,631
"fortune","faraway","package_data/faraway/fortune.csv",232,3,2442
"fpe","faraway","package_data/faraway/fpe.csv",24,14,1018
"fruitfly","faraway","package_data/faraway/fruitfly.csv",124,3,1923
"gala","faraway","package_data/faraway/gala.csv",30,7,955
"galamiss","faraway","package_data/faraway/galamiss.csv",30,7,940
"gammaray","faraway","package_data/faraway/gammaray.csv",63,3,905
"gavote","faraway","package_data/faraway/gavote.csv",159,10,10685
"globwarm","faraway","package_data/faraway/globwarm.csv",1001,10,49807
"haireye","faraway","package_data/faraway/haireye.csv",16,3,308
"happy","faraway","package_data/faraway/happy.csv",39,5,469
"hemoglobin","faraway","package_data/faraway/hemoglobin.csv",16,5,373
"hips","faraway","package_data/faraway/hips.csv",78,7,2759
"hormone","faraway","package_data/faraway/hormone.csv",26,3,340
"hprice","faraway","package_data/faraway/hprice.csv",324,8,15467
"hsb","faraway","package_data/faraway/hsb.csv",200,11,12735
"infmort","faraway","package_data/faraway/infmort.csv",105,4,3623
"insulgas","faraway","package_data/faraway/insulgas.csv",44,3,732
"irrigation","faraway","package_data/faraway/irrigation.csv",16,4,357
"jsp","faraway","package_data/faraway/jsp.csv",3236,9,118130
"kanga","faraway","package_data/faraway/kanga.csv",148,20,14195
"lawn","faraway","package_data/faraway/lawn.csv",24,4,444
"leafblotch","faraway","package_data/faraway/leafblotch.csv",90,3,1226
"leafburn","faraway","package_data/faraway/leafburn.csv",30,4,615
"mammalsleep","faraway","package_data/faraway/mammalsleep.csv",62,10,2101
"manilius","faraway","package_data/faraway/manilius.csv",27,4,833
"mba","faraway","package_data/faraway/mba.csv",39,5,469
"meatspec","faraway","package_data/faraway/meatspec.csv",215,101,171132
"melanoma","faraway","package_data/faraway/melanoma.csv",12,3,317
"motorins","faraway","package_data/faraway/motorins.csv",1797,8,73912
"neighbor","faraway","package_data/faraway/neighbor.csv",181,8,11161
"nels88","faraway","package_data/faraway/nels88.csv",260,5,8356
"nepali","faraway","package_data/faraway/nepali.csv",1000,9,29386
"nes96","faraway","package_data/faraway/nes96.csv",944,10,63013
"newhamp","faraway","package_data/faraway/newhamp.csv",276,12,23500
"oatvar","faraway","package_data/faraway/oatvar.csv",40,3,538
"odor","faraway","package_data/faraway/odor.csv",15,4,178
"ohio","faraway","package_data/faraway/ohio.csv",2148,4,22140
"orings","faraway","package_data/faraway/orings.csv",23,2,131
"ozone","faraway","package_data/faraway/ozone.csv",330,10,11470
"parstum","faraway","package_data/faraway/parstum.csv",9,3,217
"peanut","faraway","package_data/faraway/peanut.csv",16,6,450
"penicillin","faraway","package_data/faraway/penicillin.csv",20,3,344
"phbirths","faraway","package_data/faraway/phbirths.csv",1115,5,24678
"pima","faraway","package_data/faraway/pima.csv",768,9,23092
"pipeline","faraway","package_data/faraway/pipeline.csv",107,3,1254
"pneumo","faraway","package_data/faraway/pneumo.csv",24,3,385
"potuse","faraway","package_data/faraway/potuse.csv",486,7,6871
"prostate","faraway","package_data/faraway/prostate.csv",97,9,5149
"psid","faraway","package_data/faraway/psid.csv",1661,6,35090
"pulp","faraway","package_data/faraway/pulp.csv",20,2,194
"punting","faraway","package_data/faraway/punting.csv",13,7,477
"pvc","faraway","package_data/faraway/pvc.csv",48,3,639
"pyrimidines","faraway","package_data/faraway/pyrimidines.csv",74,27,9080
"rabbit","faraway","package_data/faraway/rabbit.csv",30,3,442
"ratdrink","faraway","package_data/faraway/ratdrink.csv",135,4,2976
"rats","faraway","package_data/faraway/rats.csv",48,3,691
"resceram","faraway","package_data/faraway/resceram.csv",12,3,178
"salmonella","faraway","package_data/faraway/salmonella.csv",18,2,135
"sat","faraway","package_data/faraway/sat.csv",50,7,1696
"savings","faraway","package_data/faraway/savings.csv",50,5,1451
"seatpos","faraway","package_data/faraway/seatpos.csv",38,9,1803
"seeds","faraway","package_data/faraway/seeds.csv",48,3,530
"semicond","faraway","package_data/faraway/semicond.csv",48,5,1143
"sexab","faraway","package_data/faraway/sexab.csv",76,3,2046
"sexfun","faraway","package_data/faraway/sexfun.csv",16,3,318
"snail","faraway","package_data/faraway/snail.csv",24,3,250
"solder","faraway","package_data/faraway/solder.csv",900,6,23533
"solv","faraway","package_data/faraway/solv.csv",24,3,287
"sono","faraway","package_data/faraway/sono.csv",16,8,821
"soybean","faraway","package_data/faraway/soybean.csv",25,3,425
"spector","faraway","package_data/faraway/spector.csv",32,4,404
"speedo","faraway","package_data/faraway/speedo.csv",16,16,1121
"star","faraway","package_data/faraway/star.csv",47,3,619
"stat500","faraway","package_data/faraway/stat500.csv",55,4,1006
"stepping","faraway","package_data/faraway/stepping.csv",30,6,505
"strongx","faraway","package_data/faraway/strongx.csv",10,4,182
"suicide","faraway","package_data/faraway/suicide.csv",36,4,677
"teengamb","faraway","package_data/faraway/teengamb.csv",47,5,704
"toenail","faraway","package_data/faraway/toenail.csv",1908,5,31966
"troutegg","faraway","package_data/faraway/troutegg.csv",20,4,341
"truck","faraway","package_data/faraway/truck.csv",48,6,1220
"turtle","faraway","package_data/faraway/turtle.csv",15,3,160
"tvdoctor","faraway","package_data/faraway/tvdoctor.csv",38,3,468
"twins","faraway","package_data/faraway/twins.csv",27,3,398
"uncviet","faraway","package_data/faraway/uncviet.csv",40,4,958
"uswages","faraway","package_data/faraway/uswages.csv",2000,10,53284
"vision","faraway","package_data/faraway/vision.csv",56,4,1275
"wafer","faraway","package_data/faraway/wafer.csv",16,5,373
"wavesolder","faraway","package_data/faraway/wavesolder.csv",16,10,667
"wbca","faraway","package_data/faraway/wbca.csv",681,10,14203
"wcgs","faraway","package_data/faraway/wcgs.csv",3154,13,186347
"weldstrength","faraway","package_data/faraway/weldstrength.csv",16,10,466
"wfat","faraway","package_data/faraway/wfat.csv",184,19,16278
"wheat","faraway","package_data/faraway/wheat.csv",13,2,130
"worldcup","faraway","package_data/faraway/worldcup.csv",595,7,21034
"Auto","ISLR2","package_data/islr2/Auto.csv",392,9,18276
"Bikeshare","ISLR2","package_data/islr2/Bikeshare.csv",8645,15,567588
"Boston","ISLR2","package_data/islr2/Boston.csv",506,13,31378
"BrainCancer","ISLR2","package_data/islr2/BrainCancer.csv",88,8,5214
"Caravan","ISLR2","package_data/islr2/Caravan.csv",5822,86,1024817
"Carseats","ISLR2","package_data/islr2/Carseats.csv",400,11,19044
"College","ISLR2","package_data/islr2/College.csv",777,18,58505
"Credit","ISLR2","package_data/islr2/Credit.csv",400,11,20597
"Default","ISLR2","package_data/islr2/Default.csv",10000,4,433524
"Fund","ISLR2","package_data/islr2/Fund.csv",50,2000,1781234
"Hitters","ISLR2","package_data/islr2/Hitters.csv",322,20,22437
"NYSE","ISLR2","package_data/islr2/NYSE.csv",6051,6,371105
"OJ","ISLR2","package_data/islr2/OJ.csv",1070,18,77091
"Portfolio","ISLR2","package_data/islr2/Portfolio.csv",100,2,3638
"Publication","ISLR2","package_data/islr2/Publication.csv",244,9,10746
"Smarket","ISLR2","package_data/islr2/Smarket.csv",1250,9,70464
"Wage","ISLR2","package_data/islr2/Wage.csv",3000,11,435191
"Weekly","ISLR2","package_data/islr2/Weekly.csv",1089,9,62683
"Aids2","MASS","package_data/mass/Aids2.csv",2843,7,97151
"Animals","MASS","package_data/mass/Animals.csv",28,2,262
"anorexia","MASS","package_data/mass/anorexia.csv",72,3,1168
"bacteria","MASS","package_data/mass/bacteria.csv",220,6,6588
"beav1","MASS","package_data/mass/beav1.csv",114,4,1909
"beav2","MASS","package_data/mass/beav2.csv",100,4,1693
"biopsy","MASS","package_data/mass/biopsy.csv",699,11,26945
"birthwt","MASS","package_data/mass/birthwt.csv",189,10,4955
"Boston","MASS","package_data/mass/Boston.csv",506,14,34727
"cabbages","MASS","package_data/mass/cabbages.csv",60,4,1156
"caith","MASS","package_data/mass/caith.csv",4,5,107
"Cars93","MASS","package_data/mass/Cars93.csv",93,27,14385
"cats","MASS","package_data/mass/cats.csv",144,3,1759
"cement","MASS","package_data/mass/cement.csv",13,5,235
"coop","MASS","package_data/mass/coop.csv",252,4,4922
"cpus","MASS","package_data/mass/cpus.csv",209,9,9216
"crabs","MASS","package_data/mass/crabs.csv",200,8,6927
"Cushings","MASS","package_data/mass/Cushings.csv",27,3,370
"eagles","MASS","package_data/mass/eagles.csv",8,5,160
"epil","MASS","package_data/mass/epil.csv",236,9,14894
"farms","MASS","package_data/mass/farms.csv",20,4,430
"fgl","MASS","package_data/mass/fgl.csv",214,10,12997
"forbes","MASS","package_data/mass/forbes.csv",17,2,215
"GAGurine","MASS","package_data/mass/GAGurine.csv",314,2,2970
"gehan","MASS","package_data/mass/gehan.csv",42,4,685
"genotype","MASS","package_data/mass/genotype.csv",61,3,766
"geyser","MASS","package_data/mass/geyser.csv",299,2,2899
"gilgais","MASS","package_data/mass/gilgais.csv",365,9,12113
"hills","MASS","package_data/mass/hills.csv",35,3,502
"housing","MASS","package_data/mass/housing.csv",72,5,2461
"immer","MASS","package_data/mass/immer.csv",30,4,589
"Insurance","MASS","package_data/mass/Insurance.csv",64,5,1643
"leuk","MASS","package_data/mass/leuk.csv",33,3,612
"mammals","MASS","package_data/mass/mammals.csv",62,2,562
"mcycle","MASS","package_data/mass/mcycle.csv",133,2,1324
"Melanoma","MASS","package_data/mass/Melanoma.csv",205,7,4935
"menarche","MASS","package_data/mass/menarche.csv",25,3,342
"michelson","MASS","package_data/mass/michelson.csv",100,3,1280
"minn38","MASS","package_data/mass/minn38.csv",168,5,3407
"motors","MASS","package_data/mass/motors.csv",40,3,449
"muscle","MASS","package_data/mass/muscle.csv",60,3,789
"nlschools","MASS","package_data/mass/nlschools.csv",2287,6,56037
"npk","MASS","package_data/mass/npk.csv",24,5,518
"npr1","MASS","package_data/mass/npr1.csv",104,4,1825
"oats","MASS","package_data/mass/oats.csv",72,4,2155
"OME","MASS","package_data/mass/OME.csv",1097,7,34018
"painters","MASS","package_data/mass/painters.csv",54,5,833
"petrol","MASS","package_data/mass/petrol.csv",32,6,837
"Pima.te","MASS","package_data/mass/Pima.te.csv",332,8,10259
"Pima.tr","MASS","package_data/mass/Pima.tr.csv",200,8,6247
"Pima.tr2","MASS","package_data/mass/Pima.tr2.csv",300,8,9104
"quine","MASS","package_data/mass/quine.csv",146,5,3032
"Rabbit","MASS","package_data/mass/Rabbit.csv",60,5,1554
"road","MASS","package_data/mass/road.csv",26,6,606
"rotifer","MASS","package_data/mass/rotifer.csv",20,5,403
"Rubber","MASS","package_data/mass/Rubber.csv",30,3,345
"ships","MASS","package_data/mass/ships.csv",40,5,705
"shuttle","MASS","package_data/mass/shuttle.csv",256,7,11795
"Sitka","MASS","package_data/mass/Sitka.csv",395,4,8084
"Sitka89","MASS","package_data/mass/Sitka89.csv",632,4,12943
"Skye","MASS","package_data/mass/Skye.csv",23,3,214
"snails","MASS","package_data/mass/snails.csv",96,6,1835
"steam","MASS","package_data/mass/steam.csv",14,2,148
"stormer","MASS","package_data/mass/stormer.csv",23,3,335
"survey","MASS","package_data/mass/survey.csv",237,12,18793
"synth.te","MASS","package_data/mass/synth.te.csv",1000,3,26315
"synth.tr","MASS","package_data/mass/synth.tr.csv",250,3,6097
"topo","MASS","package_data/mass/topo.csv",52,3,618
"Traffic","MASS","package_data/mass/Traffic.csv",184,4,3009
"UScereal","MASS","package_data/mass/UScereal.csv",65,11,4138
"UScrime","MASS","package_data/mass/UScrime.csv",47,16,3172
"VA","MASS","package_data/mass/VA.csv",137,8,3616
"waders","MASS","package_data/mass/waders.csv",15,19,1066
"whiteside","MASS","package_data/mass/whiteside.csv",56,3,913
"wtloss","MASS","package_data/mass/wtloss.csv",52,2,515
"absenteeism-courier","project","project_data/absenteeism-courier/absenteeism_courier_enriched.csv",740,23,84095
"cfpb-complaints","project","project_data/cfpb-complaints/cfpb_complaints_ny_enriched.csv",12000,16,3072933
"college-scorecard","project","project_data/college-scorecard/college_scorecard_enriched.csv",2663,40,680392
"communities-crime","project","project_data/communities-crime/communities_crime_enriched.csv",1994,130,1122242
"concrete-strength","project","project_data/concrete-strength/concrete_strength_enriched.csv",1030,11,76810
"energy-efficiency","project","project_data/energy-efficiency/energy_efficiency.csv",768,10,34369
"flights-ontime","project","project_data/flights-ontime/flights_ontime_enriched.csv",12000,46,4443079
"forest-fires","project","project_data/forest-fires/forest_fires_enriched.csv",517,23,58951
"gapminder-development","project","project_data/gapminder-development/gapminder_development_enriched.csv",1704,15,163434
"garment-productivity","project","project_data/garment-productivity/garment_productivity_enriched.csv",1197,20,126035
"ionosphere-radar","project","project_data/ionosphere-radar/ionosphere_radar.csv",351,35,76961
"movies-boxoffice","project","project_data/movies-boxoffice/movies_boxoffice_enriched.csv",3201,17,497008
"mta-subway-ridership","project","project_data/mta-subway-ridership/mta_subway_ridership_enriched.csv",11024,24,1774888
"ny-dmv-crashes","project","project_data/ny-dmv-crashes/ny_dmv_crashes_enriched.csv",12000,25,2861517
"nyc-collisions","project","project_data/nyc-collisions/nyc_collisions_enriched.csv",113626,39,9878482
"online-retail","project","project_data/online-retail/online_retail_enriched.csv",541909,10,49832190
"parkinsons-telemonitoring","project","project_data/parkinsons-telemonitoring/parkinsons_telemonitoring.csv",5875,22,917136
"storm-events","project","project_data/storm-events/storm_events_enriched.csv",12000,20,1112183
"superconductivity","project","project_data/superconductivity/superconductivity_enriched.csv",2500,169,3699304
"westpoint-assessment-rolls","project","project_data/westpoint-assessment-rolls/westpoint_assessment_rolls_enriched.csv",12000,27,2183827
"case0101","Sleuth3","package_data/sleuth3/case0101.csv",47,2,802
"case0102","Sleuth3","package_data/sleuth3/case0102.csv",93,2,1253
"case0201","Sleuth3","package_data/sleuth3/case0201.csv",178,2,1664
"case0202","Sleuth3","package_data/sleuth3/case0202.csv",15,2,174
"case0301","Sleuth3","package_data/sleuth3/case0301.csv",52,2,809
"case0302","Sleuth3","package_data/sleuth3/case0302.csv",743,2,8753
"case0401","Sleuth3","package_data/sleuth3/case0401.csv",24,2,237
"case0402","Sleuth3","package_data/sleuth3/case0402.csv",28,3,555
"case0501","Sleuth3","package_data/sleuth3/case0501.csv",349,2,4336
"case0502","Sleuth3","package_data/sleuth3/case0502.csv",46,2,476
"case0601","Sleuth3","package_data/sleuth3/case0601.csv",70,2,1003
"case0602","Sleuth3","package_data/sleuth3/case0602.csv",84,3,1339
"case0701","Sleuth3","package_data/sleuth3/case0701.csv",24,2,216
"case0702","Sleuth3","package_data/sleuth3/case0702.csv",10,2,81
"case0801","Sleuth3","package_data/sleuth3/case0801.csv",7,2,68
"case0802","Sleuth3","package_data/sleuth3/case0802.csv",76,3,1353
"case0901","Sleuth3","package_data/sleuth3/case0901.csv",24,3,289
"case0902","Sleuth3","package_data/sleuth3/case0902.csv",96,5,2702
"case1001","Sleuth3","package_data/sleuth3/case1001.csv",7,2,77
"case1002","Sleuth3","package_data/sleuth3/case1002.csv",20,3,675
"case1101","Sleuth3","package_data/sleuth3/case1101.csv",32,5,1112
"case1102","Sleuth3","package_data/sleuth3/case1102.csv",34,9,1553
"case1201","Sleuth3","package_data/sleuth3/case1201.csv",50,8,2251
"case1202","Sleuth3","package_data/sleuth3/case1202.csv",93,7,3055
"case1301","Sleuth3","package_data/sleuth3/case1301.csv",96,3,1214
"case1302","Sleuth3","package_data/sleuth3/case1302.csv",29,3,627
"case1401","Sleuth3","package_data/sleuth3/case1401.csv",40,4,875
"case1402","Sleuth3","package_data/sleuth3/case1402.csv",30,5,994
"case1501","Sleuth3","package_data/sleuth3/case1501.csv",88,3,977
"case1502","Sleuth3","package_data/sleuth3/case1502.csv",161,2,1890
"case1601","Sleuth3","package_data/sleuth3/case1601.csv",18,7,649
"case1602","Sleuth3","package_data/sleuth3/case1602.csv",20,4,379
"case1701","Sleuth3","package_data/sleuth3/case1701.csv",44,14,2351
"case1702","Sleuth3","package_data/sleuth3/case1702.csv",30,9,610
"case1801","Sleuth3","package_data/sleuth3/case1801.csv",2,3,65
"case1802","Sleuth3","package_data/sleuth3/case1802.csv",2,3,60
"case1803","Sleuth3","package_data/sleuth3/case1803.csv",2,3,63
"case1901","Sleuth3","package_data/sleuth3/case1901.csv",2,3,61
"case1902","Sleuth3","package_data/sleuth3/case1902.csv",12,4,215
"case2001","Sleuth3","package_data/sleuth3/case2001.csv",45,3,896
"case2002","Sleuth3","package_data/sleuth3/case2002.csv",147,7,6238
"case2101","Sleuth3","package_data/sleuth3/case2101.csv",18,4,441
"case2102","Sleuth3","package_data/sleuth3/case2102.csv",14,4,288
"case2201","Sleuth3","package_data/sleuth3/case2201.csv",41,2,221
"case2202","Sleuth3","package_data/sleuth3/case2202.csv",47,4,559
"ex0112","Sleuth3","package_data/sleuth3/ex0112.csv",14,2,207
"ex0116","Sleuth3","package_data/sleuth3/ex0116.csv",228,3,4901
"ex0125","Sleuth3","package_data/sleuth3/ex0125.csv",39,2,358
"ex0126","Sleuth3","package_data/sleuth3/ex0126.csv",492,10,21309
"ex0127","Sleuth3","package_data/sleuth3/ex0127.csv",112,10,4942
"ex0211","Sleuth3","package_data/sleuth3/ex0211.csv",122,2,1716
"ex0218","Sleuth3","package_data/sleuth3/ex0218.csv",840,2,7736
"ex0221","Sleuth3","package_data/sleuth3/ex0221.csv",59,2,1016
"ex0222","Sleuth3","package_data/sleuth3/ex0222.csv",2584,6,62181
"ex0223","Sleuth3","package_data/sleuth3/ex0223.csv",51,5,1679
"ex0321","Sleuth3","package_data/sleuth3/ex0321.csv",227,3,1851
"ex0323","Sleuth3","package_data/sleuth3/ex0323.csv",35,3,576
"ex0327","Sleuth3","package_data/sleuth3/ex0327.csv",47,3,789
"ex0330","Sleuth3","package_data/sleuth3/ex0330.csv",1426,3,19819
"ex0331","Sleuth3","package_data/sleuth3/ex0331.csv",780,3,12898
"ex0332","Sleuth3","package_data/sleuth3/ex0332.csv",50,4,2455
"ex0333","Sleuth3","package_data/sleuth3/ex0333.csv",96,2,1268
"ex0428","Sleuth3","package_data/sleuth3/ex0428.csv",15,2,158
"ex0429","Sleuth3","package_data/sleuth3/ex0429.csv",16,5,494
"ex0430","Sleuth3","package_data/sleuth3/ex0430.csv",13,2,121
"ex0431","Sleuth3","package_data/sleuth3/ex0431.csv",58,3,891
"ex0432","Sleuth3","package_data/sleuth3/ex0432.csv",15,3,144
"ex0518","Sleuth3","package_data/sleuth3/ex0518.csv",30,4,942
"ex0523","Sleuth3","package_data/sleuth3/ex0523.csv",52,2,750
"ex0524","Sleuth3","package_data/sleuth3/ex0524.csv",2584,3,64344
"ex0525","Sleuth3","package_data/sleuth3/ex0525.csv",2584,3,43536
"ex0623","Sleuth3","package_data/sleuth3/ex0623.csv",272,3,6177
"ex0624","Sleuth3","package_data/sleuth3/ex0624.csv",41,5,1776
"ex0721","Sleuth3","package_data/sleuth3/ex0721.csv",10,6,371
"ex0722","Sleuth3","package_data/sleuth3/ex0722.csv",38,3,1121
"ex0724","Sleuth3","package_data/sleuth3/ex0724.csv",45,5,1228
"ex0725","Sleuth3","package_data/sleuth3/ex0725.csv",10,2,108
"ex0726","Sleuth3","package_data/sleuth3/ex0726.csv",933,5,20704
"ex0727","Sleuth3","package_data/sleuth3/ex0727.csv",21,2,243
"ex0728","Sleuth3","package_data/sleuth3/ex0728.csv",15,2,109
"ex0729","Sleuth3","package_data/sleuth3/ex0729.csv",6,2,68
"ex0730","Sleuth3","package_data/sleuth3/ex0730.csv",6,2,64
"ex0816","Sleuth3","package_data/sleuth3/ex0816.csv",12,2,96
"ex0817","Sleuth3","package_data/sleuth3/ex0817.csv",15,2,164
"ex0820","Sleuth3","package_data/sleuth3/ex0820.csv",22,9,1093
"ex0822","Sleuth3","package_data/sleuth3/ex0822.csv",16,2,117
"ex0823","Sleuth3","package_data/sleuth3/ex0823.csv",18,3,371
"ex0824","Sleuth3","package_data/sleuth3/ex0824.csv",618,2,4481
"ex0825","Sleuth3","package_data/sleuth3/ex0825.csv",67,3,1324
"ex0826","Sleuth3","package_data/sleuth3/ex0826.csv",95,5,4263
"ex0828","Sleuth3","package_data/sleuth3/ex0828.csv",2584,4,53462
"ex0829","Sleuth3","package_data/sleuth3/ex0829.csv",5,2,67
"ex0914","Sleuth3","package_data/sleuth3/ex0914.csv",36,4,461
"ex0915","Sleuth3","package_data/sleuth3/ex0915.csv",38,3,562
"ex0918","Sleuth3","package_data/sleuth3/ex0918.csv",21,8,868
"ex0920","Sleuth3","package_data/sleuth3/ex0920.csv",116,8,6227
"ex0921","Sleuth3","package_data/sleuth3/ex0921.csv",19,4,665
"ex0923","Sleuth3","package_data/sleuth3/ex0923.csv",2584,5,74115
"ex1014","Sleuth3","package_data/sleuth3/ex1014.csv",25,3,306
